
model,replication,condition,irrelevant_percent,output,ground_truth,source_file,accuracy,load_percent
gpt-5,0,Control,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,0,LongContextControl,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,0,ContextSaturation,20,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,20
gpt-5,0,ContextSaturation,50,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,50
gpt-5,0,ContextSaturation,80,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,80
gpt-5,0,AttentionalResidue,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,1,Control,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,1,LongContextControl,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,1,ContextSaturation,20,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,20
gpt-5,1,ContextSaturation,50,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,50
gpt-5,1,ContextSaturation,80,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,80
gpt-5,1,AttentionalResidue,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,2,Control,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,2,LongContextControl,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,2,ContextSaturation,20,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,20
gpt-5,2,ContextSaturation,50,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,50
gpt-5,2,ContextSaturation,80,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,80
gpt-5,2,AttentionalResidue,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,3,Control,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,3,LongContextControl,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,3,ContextSaturation,20,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,20
gpt-5,3,ContextSaturation,50,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,50
gpt-5,3,ContextSaturation,80,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,80
gpt-5,3,AttentionalResidue,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,4,Control,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
gpt-5,4,LongContextControl,0,"API_ERROR: Error code: 401 - {'error': {'message': ""No such project: 'Interleaved Cognitive Evaluation'"", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_project'}}",11.1 billion,definitive_5_model_results.csv,0,0
